HolderAddress,Balance,PendingBalanceUpdate
0x7a5143e266c152e4986f7c11d8ed92c0bc993015,"1,040.42",no
0xaf662ab917fd27cc8784024d78dcde3f7ac53cee,"1,020.00",no
0x1442d902014556f652630c98de5dfe3c5b5b7f32,"1,000.00",no
0x9e457cc32f61d7fe413ba3e55867fc6d99a854cd,"1,000.00",no
0xeadd846cfa667aa00d917065b5b68857fd45948b,"1,000.00",no
0x4f56a3d99734d62b12c199a74b03469305ed4673,"1,000.00",no
0xd61dbf94a77ae5851ff34981304d700203cb1a2e,"1,000.00",no
0x2f007552fe41527aaf22a17fc7e7d147dbf53d93,"1,000.00",no
0x558c64aeb87ee15d80a557053b973a5466352e35,991.41,no
0x807a3047cc7ae62100e2760c03faefd040444f53,860.00,no
0x72a93c1451bbe3c2f3c2289c2c4120a143c34b88,851.85,no
0x61c92f4c1af93f3319ca0978d87759da6d3b0bfb,840.00,no
0xf7f9a7b28a7e953e33101f97d85049c1d3ac1b9f,800.00,no
0x3b75d5660162e7e2e84f201e095993dd0eaa96d8,800.00,no
0x1aef24fecfb75a8d8fd96766327517b623c17052,800.00,no
0x2562dd8cb9d1efcf8c83fb8e8dabef147e253d37,800.00,no
0xffab5d5cbe395a5e8cf075a4330a02415e8fea87,800.00,no
0x16f53b952d9819973197d0e7b09e5cd487ab3cf2,781.25,no
0x37248d920daeca00b8d933d157b9393134ba4a4b,780.63,no
0x12fe4bc7d0b969055f763c5587f2ed0ca1b334f3,780.00,no
0x87dbd077de88a859719bfa3dcd58db319cbc41a3,764.44,no
0x0ec0bac2f6ef525e49b025b107eb3ecbdc8a5e37,760.00,no
0xb0345af8cc7c9c48a1da404c8a7359a423b5ac84,748.15,no
0xfc8bd80c2d032b7a8ceb7fde5a6db8cf9430c35e,718.75,no
0xe2ccd729e6d232c3e9a171265a0d8deaa90a89c6,694.44,no
0x1867d74220a585139bc8ed364a7d330e66952bb1,694.44,no
0x32abbda35cdffb716fee444826699967abfb3297,680.00,no
0xbce909957bc30708bfa41141c1f1882a3a7aa71f,666.67,no
0x4ee68981e30ca1e7794b51302ff9b039c584d4e2,638.89,no
0x0243a21a1d0ed94b816098bcb8b88b5fb887c566,600.00,no
0xb1c0e72e6aeb0c9249abf55f60e0c90a047fcff8,560.00,no
0x5898f4c2a0dde12b08b2423e7b7e7d96630cf0d9,541.67,no
0xc8eb6d4f8bbfbb444caaa69536ea9cd0adc6bd10,541.67,no
0xf96e30ac710ff61e93f82e2010b7b9852b0a25b5,504.00,no
0x8f35df47832dc2015011d0af1d5f1abd6f7a905f,500.00,no
0xdc465d159ecb9781d6d512b5f3636a03ef9bf3a6,500.00,no
0x40c22d6f2452b924748b232a1981b0213d436617,498.15,no
0x175c35b671656d61997afbb09b84750af45bb90f,498.15,no
0xceb89d4af917c9f069a0aa0a3b21e1cea6923fb6,498.15,no
0xaf79be46619ea63122d9a39354db5da31552f84d,444.44,no
0x3f88720baeba0df6e65c2fa5538ee7cdfe65796b,444.00,no
0xbf2357e414038dc27a3979fb3d04ffd138f9e825,440.00,no
0xb4740ad0e7b5d1ceab90057a6a8a8a1f014783b9,424.00,no
0xae12d83760a819470479418b27286c159a9f3f1e,416.67,no
0x003d33df10d9398831f38fb7cf235c00ed3f54b5,400.00,no
0x43d1d6474546623a6ba86989de55ed00a5527db6,400.00,no
0xe1ed510cdff3e4238e9b84795d55d739ca277a3b,400.00,no
0x9d80a19aa525c2c60cde6a51170e5187a08907c6,380.00,no
0xe541edfecb2dbdd6b77398f43674fbfa1904127d,370.37,no
0xe9dc653b3fecdf865410891ae85c5550551ac677,370.00,no
0xdde75642869dec33b1711a73102f89e9f40323f6,343.75,no
0xdf8ef316eb6e69ac084358012a9b9f25576e622b,316.67,no
0xe748b14db0a833dc11788edfbbc68bc68a6b50c0,310.00,no
